,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,Up,Down,Left,Right
0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
1,4,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
2,4,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
3,4,2,0,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0
4,4,2,0,2,4,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
5,4,4,0,0,4,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0
6,8,4,0,2,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
7,8,4,2,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0
8,8,4,4,0,4,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
9,8,8,2,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
10,8,8,2,2,4,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
11,16,4,0,0,4,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0
12,16,4,0,4,4,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0
13,16,8,0,0,4,0,0,0,2,0,0,0,2,0,0,0,0,0,1,0
14,16,8,2,0,4,0,0,0,4,0,0,0,0,0,0,0,1,0,0,0
15,16,8,2,0,4,0,0,0,4,0,0,0,2,0,0,0,0,0,1,0
16,16,8,2,2,8,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0
17,16,8,4,0,8,2,0,0,2,0,0,0,0,0,0,0,0,0,1,0
18,16,8,4,0,8,4,0,0,2,0,0,0,0,0,0,0,1,0,0,0
19,16,8,4,4,8,4,0,0,2,0,0,0,0,0,0,0,1,0,0,0
20,16,8,8,0,8,4,2,0,2,0,0,0,0,0,0,0,0,0,1,0
21,16,16,0,0,8,4,2,0,4,0,0,0,0,0,0,0,0,0,1,0
22,32,0,0,0,8,4,2,0,8,0,0,0,0,0,0,0,0,0,1,0
23,32,4,2,0,16,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0
24,32,4,2,2,16,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0
25,32,4,4,0,16,2,0,0,2,0,0,0,0,0,0,0,0,0,1,0
26,32,8,0,0,16,2,0,0,2,0,0,0,2,0,0,0,0,0,1,0
27,32,8,0,4,16,2,0,0,4,0,0,0,0,0,0,0,1,0,0,0
28,32,8,4,0,16,2,0,0,4,0,0,0,2,0,0,0,0,0,1,0
29,32,8,4,0,16,2,2,0,4,0,0,0,2,0,0,0,1,0,0,0
30,32,8,4,0,16,4,0,0,4,0,0,0,4,0,0,0,0,0,1,0
31,32,8,4,2,16,4,0,0,8,0,0,0,0,0,0,0,1,0,0,0
32,32,8,4,4,16,4,0,0,8,0,0,0,0,0,0,0,1,0,0,0
33,32,8,8,0,16,4,0,0,8,0,0,0,2,0,0,0,0,0,1,0
34,32,16,0,0,16,4,0,0,8,0,0,0,2,4,0,0,0,0,1,0
35,32,16,2,0,16,8,0,0,8,0,0,0,2,0,0,0,1,0,0,0
36,32,16,4,0,16,8,0,0,8,0,0,0,2,0,0,0,1,0,0,0
37,32,16,4,4,16,8,0,0,8,0,0,0,2,0,0,0,1,0,0,0
38,32,16,8,0,16,8,0,0,8,2,0,0,2,0,0,0,0,0,1,0
39,32,16,8,4,0,0,16,8,0,0,8,2,0,0,0,2,0,0,0,1
40,32,16,8,4,2,16,8,0,8,2,0,0,2,0,0,0,0,0,1,0
41,32,32,16,4,2,2,0,2,8,0,0,0,2,0,0,0,1,0,0,0
42,64,16,4,0,4,2,0,0,8,0,0,0,4,0,0,0,0,0,1,0
43,64,16,4,0,4,4,0,0,8,0,0,0,4,0,0,0,1,0,0,0
44,64,16,4,0,8,0,0,0,8,2,0,0,4,0,0,0,0,0,1,0
45,64,16,4,0,16,2,2,0,4,0,0,0,0,0,0,0,1,0,0,0
46,64,16,4,0,16,4,0,0,4,0,0,0,2,0,0,0,0,0,1,0
47,64,16,4,0,16,4,0,0,4,2,0,0,2,0,0,0,1,0,0,0
48,64,16,4,0,16,4,0,0,4,2,0,0,4,0,0,0,0,0,1,0
49,64,16,4,0,16,4,2,0,8,2,0,0,0,0,0,0,1,0,0,0
50,64,16,4,2,16,4,2,0,8,2,0,0,0,0,0,0,1,0,0,0
51,64,16,4,2,0,16,4,2,0,8,2,4,0,0,0,0,0,0,0,1
52,64,32,8,4,2,8,2,4,0,0,0,0,0,0,0,0,1,0,0,0
53,64,32,8,8,2,8,2,0,0,2,0,0,0,0,0,0,1,0,0,0
54,64,32,16,0,2,8,2,0,2,0,0,0,2,0,0,0,0,0,1,0
55,64,32,16,0,4,8,4,0,2,0,0,0,0,0,0,0,1,0,0,0
